problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
rastrigin_30d,30,PSO,30,34.82351657463636,102.51571676798046,93.74369870893796,28.991236858547488,132.40005649095625,93.74369870893796,0.0,nan,60000.0,0.06600664179995874
rastrigin_30d,30,Random,30,306.94707271788786,329.81646183759744,329.5311044203554,12.029046878920726,351.2215433333333,329.5311044203554,0.0,nan,60000.0,0.0541336015999453
ripple_cone,2,CDA,30,-0.2474050431913869,-0.24451229774969543,-0.23883511210595704,0.015723823801677587,-0.16841003836963986,0.008570081932659181,0.06666666666666667,2521.0,1790.2666666666667,0.0015088795334122552
ripple_cone,2,CDA (tuned),30,-0.24691610466351271,-0.24095027955014459,-0.238824954579477,0.0064025841649267,-0.21946840665886463,0.00858023945913921,0.0,nan,10000.0,0.00239313156668383
ripple_cone,2,DE,30,-0.24740519403861622,-0.24740519403861622,-0.2474051940386162,2.823006427041851e-17,-0.24740519403861622,0.0,1.0,2300.0,10000.0,0.0127548732667492
ripple_cone,2,GA,30,-0.24740519403861622,-0.24740519403861622,-0.240433443020222,0.03049751097007379,-0.08217999488893979,0.006971751018394206,0.8666666666666667,1125.0,10000.0,0.011120267833363565
ripple_cone,2,PSO,30,-0.24740519403861327,-0.24740519403714545,-0.2474051940280243,2.5808704616220066e-11,-0.24740519392823224,1.059192548484115e-11,1.0,2875.0,10000.0,0.006952456933322537
ripple_cone,2,Random,30,-0.24025687376887328,-0.20035953961886055,-0.20002446734781454,0.022066510219536747,-0.16122281096340252,0.04738072669080167,0.0,nan,10000.0,0.004240344433371016
rosenbrock_10d,10,CDA,30,7.668185551652962,10.936337632858066,11.434920008587627,3.801140703110193,29.702941092593903,11.434920008587627,0.0,nan,11731.8,0.00514752673343537
rosenbrock_10d,10,CDA (tuned),30,1.2277131123911111,7.07424119822889,6.4259086278475825,1.8388340857197545,9.318562331815135,6.4259086278475825,0.0,nan,30000.0,0.016893213466664746
rosenbrock_10d,10,DE,30,2.4993815551682306,4.26422363697198,4.31754382241694,0.9437461026272164,6.067442753698598,4.31754382241694,0.0,nan,30000.0,0.040946966600010154
rosenbrock_10d,10,GA,30,1.9960737763056344,7.666588847884809,7.445498524546518,1.6129347433714591,9.585195457587218,7.445498524546518,0.0,nan,30000.0,0.04081875316660444
rosenbrock_10d,10,PSO,30,0.9910074569062671,1.66408124914838,1.9924063689711982,1.283410619802815,6.756207405145981,1.9924063689711982,0.0,nan,30000.0,0.02358067203334334
rosenbrock_10d,10,Random,30,68.38441280742802,144.75658891254255,140.07143801033212,35.46225573959375,195.63988160952158,140.07143801033212,0.0,nan,30000.0,0.013755112733391191
rosenbrock_2d,2,CDA,30,8.599991474015231e-08,1.728140417554467e-05,0.00013506384122269536,0.00024339509113873586,0.0009197300022709291,0.00013506384122269536,0.6666666666666666,5265.0,6800.533333333334,0.002172523733406706
rosenbrock_2d,2,CDA (tuned),30,5.06719491366385e-06,0.0005962149978493851,0.0009271945549341712,0.0010661420760204757,0.00471043074326249,0.0009271945549341712,0.1,7943.0,10000.0,0.001763663999978841
rosenbrock_2d,2,DE,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1450.0,10000.0,0.012505350200081011
rosenbrock_2d,2,GA,30,2.0472419695118523e-05,0.005313806447750178,0.06314873146001727,0.10524786564900082,0.3686354636233338,0.06314873146001727,0.13333333333333333,1000.0,10000.0,0.01109660440006337
rosenbrock_2d,2,PSO,30,7.75810656836645e-14,3.6050488742715796e-11,6.739020920270137e-10,2.0344142259796084e-09,1.0033304304177053e-08,6.739020920270137e-10,1.0,1975.0,10000.0,0.006599256433310075
rosenbrock_2d,2,Random,30,2.4634442092434777e-06,0.004855817888653576,0.006551075843663406,0.006693030946473389,0.030155480574436185,0.006551075843663406,0.03333333333333333,8800.0,10000.0,0.003968075099995379
rosenbrock_30d,30,CDA,30,43.24715662548509,162.9252824505621,205.74696828072845,156.89656630809253,933.6544876347954,205.74696828072845,0.0,nan,24010.833333333332,0.018191986766669287
rosenbrock_30d,30,CDA (tuned),30,25.45755690605501,37.900462752124184,42.99742848710391,15.81046934539057,87.65751136665561,42.99742848710391,0.0,nan,60000.0,0.041816450499997396
rosenbrock_30d,30,DE,30,22.33877919688334,25.5893733591832,25.48255969200783,1.3803504613763853,28.802997000348995,25.48255969200783,0.0,nan,60000.0,0.09015827879990562
rosenbrock_30d,30,GA,30,17.13413233315496,27.49928957099773,39.94692107720348,23.722232043900227,84.01317734458141,39.94692107720348,0.0,nan,60000.0,0.1071837119333395
rosenbrock_30d,30,PSO,30,8.907795817376915,21.282833493643412,23.46198855303798,15.76930582995598,85.44080170872768,23.46198855303798,0.0,nan,60000.0,0.059520899333347185
rosenbrock_30d,30,Random,30,1704.5362245245087,2915.7436632094596,2869.070226446815,326.62599409356346,3409.5312575024896,2869.070226446815,0.0,nan,60000.0,0.033262610666709706
schwefel_10d,10,CDA,30,1087.5185004221476,1598.270364259711,1621.2523933677915,273.7103188216148,2138.843246115717,1621.2523933677915,0.0,nan,1557.8333333333333,0.002746757833301672
schwefel_10d,10,CDA (tuned),30,533.6479950501621,1011.152876773479,983.6765016365771,197.38027108235818,1401.6167575511295,983.6765016365771,0.0,nan,30000.0,0.03333470323338285
schwefel_10d,10,DE,30,0.2209633531556392,264.12631266244284,312.1562388332751,236.26246870002436,1011.8490707652245,312.1562388332751,0.0,nan,30000.0,0.04453913480004606
schwefel_10d,10,GA,30,118.45385387614624,473.7559746962461,450.10584637376536,168.6453204410194,829.108672617459,450.10584637376536,0.0,nan,30000.0,0.043225755299984785
schwefel_10d,10,PSO,30,236.8766692288682,713.6641267109526,750.6136164441401,263.7413738172573,1308.8899188074743,750.6136164441401,0.0,nan,30000.0,0.025076972500058522
schwefel_10d,10,Random,30,1303.380310133909,1723.1336334665257,1693.1244037255333,171.56423441477378,2015.5972321231802,1693.1244037255333,0.0,nan,30000.0,0.017007160399801553
sinc_well,2,CDA,30,-19.96668276893578,-19.966533861875057,-19.966069749685623,0.0016219201259802323,-19.957950440848393,0.0006135796800060452,0.36666666666666664,3668.0,3122.366666666667,0.0019770934666363854
sinc_well,2,CDA (tuned),30,-19.966397141138287,-19.963913634129376,-19.96331430322049,0.002646165956101452,-19.95232557034354,0.0033690261451438867,0.0,nan,10000.0,0.002262962333406904
